,0
0,849784.129
1,700293.548
2,802110.334
3,857682.575
4,1109423.061
5,935135.952
6,851377.532
7,1351786.53
8,747519.511
9,1680707.282
10,1262802.471
11,1969891.323
12,1317608.543
13,1119925.969
14,1067869.779
15,1173372.08
16,752351.618
17,679664.596
18,610381.757
19,1741473.179
