,0
0,15.43
1,15.46
2,15.41
3,15.48
4,15.72
5,15.62
6,15.38
7,15.68
8,15.67
9,16.12
10,16.14
11,16.63
12,16.66
13,16.74
14,16.68
15,16.68
16,16.5
17,16.56
18,16.48
19,16.93
