,0
0,15.35
1,15.3
2,15.34
3,15.35
4,15.47
5,15.62
6,15.36
7,15.38
8,15.66
9,15.85
10,16.12
11,16.0
12,16.43
13,16.55
14,16.55
15,16.68
16,16.23
17,16.45
18,16.34
19,16.53
