,0
0,553877.38
1,455418.05
2,524545.27
3,557084.46
4,712615.24
5,605992.89
6,556383.88
7,871505.19
8,478998.82
9,1053103.81
10,787952.34
11,1203104.9
12,797091.33
13,675536.76
14,644478.38
15,715792.72
16,459128.42
17,414917.98
18,372033.86
19,1042574.72
