,0
0,15.36
1,15.45
2,15.31
3,15.43
4,15.6
5,15.41
6,15.33
7,15.66
8,15.6
9,16.12
10,16.13
11,16.5
12,16.46
13,16.55
14,16.59
15,16.24
16,16.4
17,16.3
18,16.47
19,16.63
